naver,kakao,google
마르코,귀공자,윤주
문동은,이여정,박연진
이사라,전재준,하도영
최혜정,이은혁,차현수
서이경,이은유,정의명
윤지수,편상욱,성기훈
한미녀,오일남,강새벽
장덕수,우영우,정명석
방구뽕,최수연,권민우
소문,도하나,위겐
한호열,나적봉,가모탁
안준호,윤세리,리정혁
이태오,지선우,여다경
박새로이,조이서,토니 스타크
페퍼 포츠,자비스,닉 퓨리
나타샤 로마노프,로키,해피 호건
토르,코르그,헐크
마리아 힐,호크아이,스티브 로저스
마카리,이카리스,세르시
하울,하쿠,길가메시
소피,센,가오나시
유바바,치히로,토토로
제니바,미츠하,타키
히나,호다카,사토루
유타,게토,메구미
이타도리,스쿠나,탄지로
이노스케,젠이츠,네즈코
무잔,카나오,텐겐
기유,사네미,미츠리
코쥬로,무이치로,오바나이
시노부,타케미치,드라켄
키사키,히나타,마이키
나오토,아이,아쿠아
카나,삐에용,루비
아카네,루피,에이스
조로,나미,상디
샹크스,쵸파,로빈
에렌,미사카,리바이
코니,히스토리아,아르민
마키마,파워,주디
덴지,아키,닉 퓨리
앰버,실비,가젤
웨이드,일레븐,빌리
윌 바이어스,데모고르곤,맥스
스티브 해링턴,더스틴,마이크
웬즈데이,낸시,베크나
대너리스,존 스노우,해리 포터
도비,말포이,헤르미온느
덤블도어,론 위즐리,해그리드
사우론,간달프,볼드모트
아라곤,골룸,프로도
아르웬,레골라스,갈라드리엘
김리,발록,알라딘
에리얼,지니,자스민
우르술라,벨,백설
포카혼타스,오로라,신데렐라
뮬란,티아나,라푼젤
모아나,엘사,메리다
아리에티,안나,시즈쿠
소스케,울랄프,슌
포뇨,메이,아시타카
키키,파즈,산
나우시카,조커,브루스
완다,비전,할리퀸
영숙,상철,영수
영자,영철,옥순
모피어스,네오,조엘
스미스,트리니티,클레멘타인
부용주,도인범,서우진
차진만,차은재,윤서정
강동주,이익준,채송화
이익순,안정완,김준완
이우주,장겨울,양석형
지은탁,김신,써니
구동매,고애신,유진 초이
천송이,도민준,김희성
구웅,유미,유바비
고한수,솔로몬,순자
다프네,진양철,노아
사이먼,휘슬다운,엘로이즈
세레나,페넬로피,던프리
블레어,댄 험프리,척 배스
네이트,이지안,로즈
버즈,우디,잭
톰,제리,데이브
케빈,필,팀
랄프,그루트,로켓
미아,피글렛,푸우
와일더,피터 파커,메리 제인
벨라,에드워드,그웬
제이콥,아슬란,스미골
쿠퍼,톰누스,버피
조프리,산사,롭
셜록,아리아,브란
루팡,로건,진
브루스 배너,제니퍼 월터스,타노스
스티븐 스트레인지,,맷 머독
앤,앨리스,피터 퀼
베를린,도쿄,교수
리우,덴버,나이로비
오티스,헬싱키,메이브
빙 봉,기쁨이,까칠이
소심이,버럭이,슬픔이
개츠비,데이지,가모라
맨티스,네뷸라,드랙스
